Date,PeerFlow5,OwnFlow5,Forward5,ExitDate5,PeerFlow20,OwnFlow20,Forward20,ExitDate20,PeerFlow60,OwnFlow60,Forward60,ExitDate60,rate_us_real_10y_level,rate_us_real_10y_change_20d,currency_usdcnh_return_20d,price_return_20d
2013-12-17,-0.063091814363,-0.014315162620,-0.024380165289,2013-12-25,0.133588636060,-0.102143714032,0.004958677686,2014-01-16,-0.502513965701,0.024805524686,0.090909090909,2014-03-20,0.710000000000,0.230000000000,-0.000115321252,-0.025189924030
2013-12-18,-0.063091814363,-0.058943357791,-0.015333609615,2013-12-26,0.133588636060,-0.132569501191,0.008702859511,2014-01-17,-0.494038881428,-0.078497284917,0.101947782843,2014-03-21,0.670000000000,0.140000000000,0.001331204286,-0.035486443381
2013-12-19,0.000000000000,-0.061884723042,0.003795866723,2013-12-27,0.114504545194,-0.148984315622,0.027414592999,2014-01-20,-0.502556793177,-0.102473948845,0.117671868410,2014-03-24,0.720000000000,0.080000000000,0.000527204580,-0.025578562728
2013-12-20,0.000000000000,-0.058092250494,0.019957537155,2013-12-30,0.093633543281,-0.168754379069,0.042887473461,2014-01-21,-0.498283213869,-0.123835942144,0.114225053079,2014-03-25,0.790000000000,0.190000000000,0.000560113341,-0.047192839707
2013-12-23,-0.016835111308,-0.060512760931,0.003818413237,2013-12-31,0.093633543281,-0.170890510450,0.034789987272,2014-01-22,-0.299761389934,-0.139647467726,0.112855324565,2014-03-26,0.730000000000,0.170000000000,-0.000403514695,-0.029134181371
2013-12-24,-0.016835111308,-0.101661438364,0.011859381618,2014-01-02,0.073529862315,-0.207204743921,0.028377806014,2014-01-23,0.000000000000,-0.171822839495,0.103346039814,2014-03-27,0.760000000000,0.200000000000,-0.001340636926,-0.040162271805
2013-12-25,-0.016835111308,-0.097711055881,0.015572390572,2014-01-03,0.035461202489,-0.230702189107,0.034511784512,2014-01-24,0.035461202489,-0.219024322543,0.083333333333,2014-03-28,0.800000000000,0.260000000000,-0.001389494109,-0.031390134529
2013-12-26,0.000000000000,-0.106562201880,0.023949579832,2014-01-06,0.035461202489,-0.242939699357,0.037815126050,2014-01-27,0.035461202489,-0.229690945364,0.079831932773,2014-03-31,0.800000000000,0.220000000000,-0.002218059937,-0.025819672131
2013-12-27,0.000000000000,-0.128489782492,0.011656952540,2014-01-07,-0.016835111308,-0.275560948101,0.027477102415,2014-01-28,0.035461202489,-0.281698493654,0.067443796836,2014-04-01,0.800000000000,0.220000000000,-0.002004600723,-0.017191977077
2013-12-30,0.000000000000,-0.139126491745,0.020710059172,2014-01-08,-0.016835111308,-0.286241605004,0.036348267117,2014-01-29,0.054151950373,-0.305526919624,0.079036348267,2014-04-02,0.800000000000,0.200000000000,-0.001923770689,-0.029795918367
2013-12-31,-0.017123385407,-0.113166063114,0.008790288824,2014-01-09,-0.049669148284,-0.278425732676,0.031812473838,2014-01-30,0.036101300248,-0.283140507388,0.076182503139,2014-04-03,0.760000000000,0.100000000000,-0.003097246983,-0.014516798009
2014-01-02,-0.017123385407,-0.052757847036,0.000414421881,2014-01-10,-0.080128633166,-0.252117789431,0.019892250311,2014-02-07,0.036101300248,-0.255382681125,0.060505594695,2014-04-04,0.800000000000,0.160000000000,-0.003715974580,-0.002076411960
2014-01-03,-0.017123385407,-0.065315673490,0.005744768158,2014-01-13,-0.108696214784,-0.253889956839,0.021748050882,2014-02-10,0.055147396736,-0.270428429564,0.058678703324,2014-04-08,0.740000000000,0.010000000000,-0.004104225954,-0.002058460272
2014-01-06,-0.017123385407,-0.035384034724,0.007818930041,2014-01-14,-0.080128633166,-0.232320198247,0.032098765432,2014-02-11,0.055147396736,-0.274861682508,0.073662551440,2014-04-09,0.750000000000,-0.010000000000,-0.005148788472,0.007030603805
2014-01-07,-0.017123385407,-0.026935140182,0.010351966874,2014-01-15,-0.094637721544,-0.237013535585,0.043064182195,2014-02-12,0.055147396736,-0.291852523000,0.084886128364,2014-04-10,0.720000000000,-0.050000000000,-0.004012259223,0.007010309278
2014-01-08,0.000000000000,-0.027344319673,0.009128630705,2014-01-16,-0.094637721544,-0.236200183234,0.046887966805,2014-02-13,0.095420454329,-0.293510116168,0.080082987552,2014-04-11,0.700000000000,-0.040000000000,-0.004270756039,-0.013905930470
2014-01-09,0.000000000000,-0.099666994981,0.008285004143,2014-01-17,-0.094637721544,-0.275854914461,0.048467274234,2014-02-14,0.161944412580,-0.328129921949,0.089063794532,2014-04-14,0.720000000000,0.030000000000,-0.004459795888,-0.020308692120
2014-01-10,0.000000000000,-0.075956443537,-0.006119951040,2014-01-20,-0.017123385407,-0.276101072034,0.057527539780,2014-02-17,0.138889807472,-0.336144725584,0.079559363525,2014-04-15,0.660000000000,-0.050000000000,-0.006458300768,-0.008979591837
2014-01-13,0.000000000000,-0.088648146337,0.002858309514,2014-01-21,-0.017123385407,-0.278358700283,0.060024499796,2014-02-18,0.138889807472,-0.349241273334,0.055532870559,2014-04-16,0.590000000000,-0.160000000000,-0.007241785100,0.015767634855
2014-01-14,-0.226482151464,-0.086117809163,-0.000409836066,2014-01-22,-0.252526669622,-0.280779210720,0.052459016393,2014-02-19,-0.119048406405,-0.347148984040,0.067213114754,2014-04-17,0.570000000000,-0.150000000000,-0.007318257777,0.018249688926
